integrationVal,error,delay
-26.826395382559618,1.589412491745378,0.0025000000000000001
-1.0961346091728648,0.076558134124145333,1.202
12.804280806001731,0.72931438051464226,2.4020000000000001
19.885274852544818,1.1532149606825768,3.6019999999999999
23.582785811864838,1.375670878044938,4.8019999999999996
25.465042513545288,1.4927456051257064,6.0010000000000003
26.49481944819086,1.5580881950193843,7.2009999999999996
27.043058555883725,1.5977952576105519,8.4009999999999998
27.302156549029448,1.6156537175033998,9.6010000000000009
27.399276741002677,1.6191018243548105,10.800000000000001
27.507929359112492,1.6284886230681364,12.0
