integrationVal,error,delay
-28.084648962948521,1.620397802198313,0.0025000000000000001
-2.4747369487776281,0.17955599574633907,1.202
11.662940676553461,0.64690392812960074,2.4020000000000001
19.400432399545696,1.0973704312758221,3.6019999999999999
23.68640767384219,1.3528483786156464,4.8019999999999996
26.07856627962898,1.4992474663186794,6.0010000000000003
27.402519476091079,1.5842845840633857,7.2009999999999996
28.173504455291294,1.6359068505793279,8.4009999999999998
28.55723119203423,1.6593005272895405,9.6010000000000009
28.827198008464055,1.6846642644755521,10.800000000000001
29.000496546569565,1.6998531208477978,12.0
