integrationVal,error,delay
-24.761281165250807,1.3723777385219991,0.0025000000000000001
-1.1543613713848075,0.079859740652554301,1.202
11.379112841761939,0.61761464590568005,2.4020000000000001
18.058328411375829,0.98950172300674077,3.6019999999999999
21.597859439862642,1.186406803818389,4.8019999999999996
23.52122603233579,1.295269633666188,6.0010000000000003
24.58200780910806,1.357478443443658,7.2009999999999996
25.149679749374336,1.3919172347417212,8.4009999999999998
25.433789886771248,1.4080514463220066,9.6010000000000009
25.6587717552888,1.4244770719033508,10.800000000000001
25.781997949524978,1.4354626653913678,12.0
