t1Val (s),error,expNum
1.9100920404158133,0.0044952033422050808,36
2.11023183061672,0.008046615702953494,37
1.3668175305186805,0.31160828652907985,38
1.7634979418112786,0.0011625702649642672,39
1.8960493658619788,0.0022935414263961008,40
1.977502990933615,0.0030991869132079093,41
2.0196464393829485,0.0034234194044881982,42
1.8597491272176947,0.0121699821203636,43
1.6984932792692553,0.0027503667322490567,44
1.5503548403517544,0.25280685543693321,45
1.7041290314886002,0.010589957301653687,304
