power (W),Integral
3.2809529311311904e-10,1.0
0.011000434853820207,-0.050191210445451967
0.077840492085496746,-4.6507031827205196
0.14985710179971895,-7.6596878581452561
0.22159426374810223,-9.6717271452925697
0.31144700687266336,-11.515217707601197
0.37195915027518639,-12.459561690477873
0.44873420154870985,-13.445758363104721
0.49524193909267517,-14.036786501236074
0.57647579943426741,-14.785509998256536
0.65050941852235078,-15.375892901860428
0.80536058583370818,-16.35657971761324
0.91424977375738936,-16.940865050529325
0.99596648013661293,-17.315855663091885
1.1219347314962473,-17.807899663539942
1.3803523826502375,-18.64132689896908
1.5668219984718821,-19.09439702106399
1.842921040576184,-19.650749992173846
2.1035141905022798,-20.10688059600033
2.6285375445429535,-20.780754317922415
2.9827402135471459,-21.144658632383816
3.1655986070302249,-21.357264501921602
3.4917712482883507,-21.620731485411156
4.0957944563285134,-22.050908090187299
4.462304449261187,-22.244910434669269
4.974258950754999,-22.470042637715483
5.3730850517982587,-22.650400676398391
2.9707636286039509,-21.710952715679785
1.1229150235030207,-18.616727163502464
0.21577708866291925,-10.280765524239744
"
"
power (W),time (s)
0.012133888504649764,0.28200006484985352
0.012125509605714853,0.64100003242492676
0.012114346740128323,0.96900010108947754
0.012103194151187666,1.2969999313354492
0.012094836447839433,1.625
0.012089267852132995,1.9539999961853027
0.012083701820269251,2.2820000648498535
0.012072577443348741,2.6099998950958252
0.012067019095932737,2.937999963760376
0.012055910077295338,3.2660000324249268
0.012044811285731746,3.5940001010894775
0.012044811285731746,3.937999963760376
0.012044811285731746,4.2660000324249268
0.012036493897912127,4.5940001010894775
0.012025412981077739,4.9070000648498535
0.012022644346174118,5.25
0.012017108988505184,5.562999963760376
0.012008810730146712,5.8910000324249268
0.012003281741626704,6.2039999961853027
0.01199775529871383,6.5320000648498535
0.011992231400236043,6.8599998950958252
0.01197843277825854,7.187999963760376
0.011964650033390324,7.5160000324249268
0.011970161227254163,7.8440001010894775
0.011970161227254163,8.1570000648498535
0.011964650033390324,8.5
0.01195363525673717,8.812999963760376
0.011942630620397734,9.1410000324249268
0.01193438379210795,9.4539999961853027
0.011931636115036719,9.7820000648498535
0.011926142658558209,10.109999895095825
0.011915163332179996,10.437999963760376
0.011912420080273744,10.766000032424927
0.011909677459951857,11.094000101089478
0.011912420080273744,11.407000064849854
0.011906935471068943,11.734999895095825
0.011895973827019912,12.046999931335449
0.011887759216972134,12.375
0.011879550279416512,12.687999963760376
0.011879550279416512,13.016000032424927
0.011874080803829493,13.328999996185303
0.011868613846449187,13.657000064849854
0.011865881311724212,13.969000101089478
0.011863149406116184,14.296999931335449
0.011871347010435983,14.609999895095825
0.011849499309761776,14.937999963760376
0.011844043669971655,15.25
0.011841316792087601,15.578999996185303
0.011833139924744607,15.907000064849854
0.011827691816995251,16.234999895095825
0.011822246217614624,16.546999931335449
0.011819524358201652,16.875
0.011814082519208863,17.203999996185303
0.011808643185698599,17.532000064849854
0.011805924458138896,17.875
0.011819524358201652,18.203999996185303
0.011819524358201652,18.532000064849854
0.011811362539340524,18.859999895095825
0.011803206356517286,19.187999963760376
0.011797772030511923,19.516000032424927
0.011792340206530014,19.859999895095825
0.011786910883419592,20.187999963760376
0.011778771585369417,20.516000032424927
0.011770637907805677,20.844000101089478
0.011762509846847227,21.187999963760376
0.011759801740658484,21.516000032424927
0.011757094257962446,21.844000101089478
0.01175438739861558,22.171999931335449
0.011748975549395285,22.5
0.011743566191849892,22.828999996185303
0.011740862447096762,23.157000064849854
0.011738159324832206,23.484999895095825
0.011732754947195535,23.812999963760376
0.01173005369153691,24.125
0.011727353057793776,24.453999996185303
0.011721953655481298,24.782000064849854
0.011719254886625681,25.109999895095825
0.011713859212800262,25.421999931335449
0.011708466023202404,25.75
0.011703075316688349,26.062999963760376
0.011703075316688349,26.391000032424927
0.011694993910198698,26.703999996185303
0.011692301348339202,27.046999931335449
0.011692301348339202,27.359999895095825
0.011689609406393624,27.703999996185303
0.011692301348339202,28.016000032424927
0.011686918084219223,28.359999895095825
0.011676158990380122,28.671999931335449
0.011673470764921919,29.016000032424927
0.011668096170609618,29.328999996185303
0.011662724050819636,29.657000064849854
0.011660038918514474,29.984999895095825
0.011657354404412694,30.312999963760376
0.011654670508371962,30.625
0.011651987230249999,30.953999996185303
0.011649304569904519,31.266000032424927
0.011641260294104904,31.594000101089478
0.011638580103443411,31.907000064849854
0.011638580103443411,32.234999895095825
0.011638580103443411,32.546999931335449
0.011633221573175343,32.875
0.011630543233284657,33.187999963760376
0.011625188403279998,33.516000032424927
0.01161716078058567,33.828999996185303
0.011614486138403414,34.157000064849854
0.011611812112009392,34.469000101089478
0.011609138701261809,34.796999931335449
0.011601122161480525,35.109999895095825
0.011598451211901664,35.437999963760376
0.01159311115741655,35.75
0.011585105685247265,36.078999996185303
0.011582438423173792,36.391000032424927
0.011579771775189389,36.719000101089478
0.011574440320922365,37.032000064849854
0.011569111321315498,37.359999895095825
0.011563784775238671,37.671999931335449
0.011561122421920976,38.0
0.011553139039157053,38.328999996185303
0.011547819846894569,38.657000064849854
0.011545161169214294,38.984999895095825
0.011537188808285888,39.312999963760376
0.011531876959685104,39.625
0.011526567556717826,39.953999996185303
0.011523913771994859,40.266000032424927
0.011513304741558169,40.594000101089478
0.011508003889444344,40.907000064849854
0.011502705477901144,41.234999895095825
0.011500057186992345,41.546999931335449
0.011494762434198341,41.875
0.011489470119166746,42.187999963760376
0.011484180240775181,42.516000032424927
0.011478892797901806,42.828999996185303
0.011476249989434001,43.157000064849854
0.011470966197735553,43.469000101089478
