integrationVal,error,expNum
-4.8462236899956297,0.15659862997903609,5
0.24323783309030542,0.077900608740841037,6
22.538347939238257,0.62008180652924261,7
37.120560756115424,1.0106409810995625,8
46.871353214690657,1.2751215835664289,9
55.805320850034086,1.515265458460989,10
60.381823031355864,1.6428046380184465,11
65.161152709234955,1.766822228670103,12
68.025407273701134,1.84286531560962,13
71.653888822218065,1.9375347741224023,14
74.515016435831654,2.0184113160575614,15
79.26764411479931,2.1441993656454197,16
82.099221536894234,2.2144642505718077,17
83.916509927020869,2.2646745047255856,18
86.301065218512463,2.3252810109063615,19
90.340040030736716,2.4394367295313351,20
92.535719189662288,2.49499139614653,21
95.231930138254327,2.5681476603547262,22
97.442441076250248,2.6319433390232283,23
100.70818387149458,2.7233490048875599,24
102.47174558112904,2.7677267242352799,25
103.50208118271517,2.7981424090473297,26
104.77890111963394,2.8399377149357523,27
106.86363317258197,2.9006868776334245,28
107.8038119303252,2.9338772791032532,29
108.89485294610866,2.9671460838529105,30
109.76890834585491,2.998172119377009,31
105.21613338310233,2.8897869347187815,32
90.220824209950777,2.4947302810814938,33
49.822889434860983,1.3985723064501323,34
