integrationVal,error,delay
-25.879650275086696,1.4683999103197978,0.0025000000000000001
-1.0897069201090561,0.081951068778877381,1.202
12.073284085436377,0.66698332220641909,2.4020000000000001
19.041699841017447,1.0679775628326733,3.6019999999999999
22.712439461142093,1.2762735062275041,4.8019999999999996
24.720170877763138,1.3952281144557792,6.0010000000000003
25.753906953796022,1.4581420846648854,7.2009999999999996
26.331054163540529,1.4927673069306349,8.4009999999999998
26.650672296388016,1.5125634216928778,9.6010000000000009
26.823996091020589,1.5220310245710118,10.800000000000001
26.946290373346908,1.5312719097123293,12.0
